Danh mục ngành	
	
Mã	Tên
5110101	Sư phạm mầm non
5110102	Giáo dục mầm non
5110201	Giáo dục tiểu học
5110301	Sư phạm Toán - Tin
5110302	Sư phạm Ngữ văn
5110303	Sư phạm Tiếng Anh
5110304	Sư phạm Vật lý
5110305	Sư phạm Hóa học
5110306	Sư phạm Sinh học
5110307	Sư phạm Lịch sử
5110308	Sư phạm Địa lý
5110309	Sư phạm Thể dục
5110310	Sư phạm Mỹ thuật
5110311	Sư phạm Âm nhạc
51140201	Giáo dục mầm non
51140202	Giáo dục tiểu học
51140217	Sư phạm Ngữ văn
51140231	Sư phạm Tiếng Anh
5140101	Giáo dục đặc biệt
5140201	Sư phạm giáo dục nghề nghiệp
5140202	Sư phạm kỹ thuật công nghiệp
5140203	Sư phạm kỹ thuật nông nghiệp
5140204	Sư phạm kỹ thuật xây dựng
5140205	Giáo viên huấn luyện xiếc
5210101	Nghệ thuật biểu diễn dân ca
5210102	Biểu diễn nhạc cụ truyền thống
5210103	Biểu diễn nhạc cụ phương Tây
5210104	Sáng tác âm nhạc
5210105	Chỉ huy âm nhạc
5210106	Thanh nhạc
5210107	Lý luận và lịch sử âm nhạc
5210108	Biểu diễn múa
5210109	Biên đạo múa
5210110	Lý luận và lịch sử múa
5210111	Diễn viên sân khấu kịch nói
5210112	Diễn viên sân khấu kịch hát
5210113	Diễn viên múa rối
5210114	Đạo diễn sân khấu
5210115	Lý luận và lịch sử sân khấu
5210116	Nghệ thuật xiếc
5210117	Diễn xuất điện ảnh - Truyền hình
5210118	Quay phim
5210119	Âm thanh
5210120	Kỹ thuật ánh sáng sân khấu điện ảnh
5210201	Hội họa
5210202	Điêu khắc
5210203	Đồ họa
5210204	Lý luận và lịch sử Mỹ thuật
5210205	Mỹ thuật ứng dụng
5210206	Thiết kế đồ họa
5210207	Thiết kế thời trang
5210208	Thiết kế nội thất
5210209	Thiết kế công nghiệp
5210210	Thiết kế mỹ thuật sân khấu - điện ảnh
5220101	Ngôn ngữ Anh
5220102	Ngôn ngữ Nga
5220103	Ngôn ngữ Pháp
5220104	Ngôn ngữ Trung Quốc
5220105	Ngôn ngữ Nhật
5220106	Ngôn ngữ Hàn Quốc
5220107	Ngôn ngữ Đức
5220108	Ngôn ngữ Thái
